0;79;74;11;23;1;61;49;67;43;2;29;17;36;54;93;87
1;2;30;0;55;94
2;88;94;57;7;45;68;80;63;56;1;31;75;3;6;55;19;30;89;50;62;25;0;70;44;81;83;32;82;37;12;39;4;18;5;13;24;38;69
3;70;27;2;26;39
4;66;32;16;40;57;2;14;5;64;83;42
5;8;9;4;2
6;41;56;14;65;40;82;2;15;7;31;64
7;8;6;10;2
8;11;7;5
9;12;10;5
10;12;9;7
11;0;12;8
12;11;2;9;10;13
13;21;2;20;12
14;17;4;6
15;6;18;16
16;18;15;4
17;14;18;0
18;17;16;15;19;2
19;18;22;2;20
20;13;23;19
21;22;24;13
22;21;19;24
23;24;0;20
24;23;2;22;25;21
25;2;28;26;24
26;29;3;25
27;3;28;30
28;25;30;27
29;0;26;30
30;1;28;29;27;2
31;6;2;33;34
32;35;4;2;33
33;31;36;32
34;35;37;31
35;32;34;37
36;0;33;37
37;38;2;36;34;35
38;46;37;47;2
39;48;3;2;46
40;6;4;43
41;6;42;44
42;41;4;44
43;0;40;44
44;2;41;43;42;45
45;51;2;44;53
46;39;49;38
47;38;50;48
48;39;47;50
49;0;50;46
50;47;48;51;49;52;2
51;54;50;45
52;55;53;50
53;52;55;45
54;51;55;0
55;54;52;1;53;2
56;58;59;2;6
57;60;2;58;4
58;57;61;56
59;62;56;60
60;62;57;59
61;0;58;62
62;63;60;59;61;2
63;71;62;72;2
64;6;4;67
65;68;6;66
66;4;65;68
67;64;68;0
68;67;65;69;66;2
69;2;68;71;73
70;76;78;3;2
71;74;63;69
72;75;63;73
73;75;69;72
74;71;0;75
75;74;76;2;72;73;77
76;75;70;79
77;75;78;80
78;77;80;70
79;76;0;80
80;79;77;78;81;2
81;90;2;80;91
82;85;6;2;84
83;2;4;84;86
84;83;82;87
85;86;82;88
86;83;85;88
87;84;88;0
88;85;87;86;2;89
89;90;88;92;2
90;81;89;93
91;94;92;81
92;91;94;89
93;90;94;0
94;91;93;92;1;2
